PipeAge,PipeDiameter,PipeLength,PipeBreakage,PipeWallLos,ExpectedPipeAge,Material_CI,Material_Concrete,Material_Ductile Iron,Material_PVC,Material_Polyethene,Material_Steel,PipeRUL
151,1682,4880.722405,928.3820877,35,49,1,0,0,0,0,0,43
80,3865,1940.107485,98.75549997,41,120,1,0,0,0,0,0,24
74,1659,2599.669467,751.5410332,27,126,1,0,0,0,0,0,15
132,3196,1468.88564,570.8584708,13,68,0,1,0,0,0,0,23
125,2374,746.420442,1066.889783,5,75,0,0,1,0,0,0,2
70,93,4098.384791,0.680148596,41,130,1,0,0,0,0,0,27
107,2597,6003.743572,846.3097157,10,93,0,0,0,1,0,0,9
25,3184,798.5777365,682.6019055,10,175,0,0,0,1,0,0,10
39,3812,2570.709205,424.9196099,3,161,0,0,0,0,1,0,4
142,3392,5793.671358,943.6468322,12,58,0,1,0,0,0,0,4
91,2793,1198.338653,872.2254029,13,109,0,1,0,0,0,0,18
139,3402,3572.192382,1078.407432,27,61,1,0,0,0,0,0,6
7,992,3179.095993,681.1668964,14,193,0,1,0,0,0,0,42
29,564,3459.643891,637.1446522,41,171,1,0,0,0,0,0,4
8,347,5093.301595,635.1383145,28,192,1,0,0,0,0,0,3
2,1082,148.2748862,398.4440114,38,198,1,0,0,0,0,0,27
53,235,4070.567081,769.6203309,36,147,1,0,0,0,0,0,10
61,2264,4738.974659,12.3551132,38,139,1,0,0,0,0,0,21
99,2821,983.0830172,424.000125,5,101,0,0,1,0,0,0,5
17,1952,715.6775471,523.1450675,5,183,0,0,1,0,0,0,22
104,1089,2711.565772,607.9772895,39,96,1,0,0,0,0,0,28
111,712,3228.719719,272.2503102,3,89,0,0,0,0,1,0,39
19,2513,1459.275423,1020.117097,24,181,1,0,0,0,0,0,20
93,1073,5411.945312,84.79252042,15,107,0,1,0,0,0,0,13
139,1513,2883.943067,825.5819157,19,61,0,0,0,0,0,0,31
31,3524,2792.895676,236.1425799,44,169,1,0,0,0,0,0,5
43,2470,4949.552808,205.6128694,20,157,0,0,0,0,0,0,33
60,2906,5818.539876,929.7657875,38,140,1,0,0,0,0,0,12
66,2020,6081.428733,931.2840259,2,134,0,0,0,0,1,0,2
17,977,6228.419263,811.7229345,4,183,0,0,1,0,0,0,14
101,3244,1482.332703,974.9501805,36,99,1,0,0,0,0,0,27
46,3853,1969.54053,808.4568892,23,154,1,0,0,0,0,0,40
90,1863,5615.812962,986.5846681,26,110,1,0,0,0,0,0,15
72,2649,19.66582809,757.3784273,31,128,1,0,0,0,0,0,24
125,3774,2632.60203,640.2188751,32,75,1,0,0,0,0,0,16
89,1852,4618.535656,961.1901929,7,111,0,0,0,0,0,1,30
146,791,1791.332111,764.1175873,21,54,1,0,0,0,0,0,3
152,1471,2635.48486,695.0418897,2,48,0,0,0,0,1,0,22
16,3477,4809.075353,571.5031401,1,184,0,0,0,0,1,0,31
81,2736,4171.977741,246.5087011,32,119,1,0,0,0,0,0,37
131,1007,3864.133055,876.6624548,38,69,1,0,0,0,0,0,32
72,2192,1295.044369,406.0849636,11,128,0,1,0,0,0,0,8
24,716,2290.905612,178.6199671,17,176,0,0,0,0,0,0,28
12,1066,1164.154478,763.3234719,6,188,0,0,0,0,0,1,17
74,2298,2566.643342,1074.418021,43,126,1,0,0,0,0,0,10
97,1951,3467.877773,321.6209301,13,103,0,1,0,0,0,0,25
85,3801,2665.744772,148.7842128,27,115,1,0,0,0,0,0,10
31,1947,5425.023695,1051.645861,21,169,1,0,0,0,0,0,16
12,2704,3431.631075,722.7643741,37,188,1,0,0,0,0,0,28
82,428,6164.140639,1005.317885,12,118,0,1,0,0,0,0,1
90,2026,6127.942783,903.8374586,28,110,1,0,0,0,0,0,28
23,2987,3440.134887,844.1576238,32,177,1,0,0,0,0,0,2
137,271,5.893905064,245.1652933,3,63,0,0,0,0,1,0,4
129,2633,1996.909797,663.0597666,12,71,0,1,0,0,0,0,31
8,2025,2395.063887,280.8563875,19,192,0,0,0,0,0,0,30
108,403,489.9564563,184.3087275,27,92,1,0,0,0,0,0,34
116,1108,3025.372027,1043.995128,1,84,0,0,0,0,1,0,20
49,2320,1866.253203,1053.335696,1,151,0,0,0,0,1,0,11
131,3315,3440.431636,589.5391176,21,69,1,0,0,0,0,0,19
93,3274,1601.735643,578.1722677,27,107,1,0,0,0,0,0,43
96,2603,5344.055423,918.982254,3,104,0,0,0,0,1,0,8
110,3676,212.2944007,970.9883805,24,90,1,0,0,0,0,0,39
98,841,1696.239726,980.9929067,33,102,1,0,0,0,0,0,43
52,3599,466.4795657,722.3678053,29,148,1,0,0,0,0,0,8
116,341,2073.35278,495.1950824,3,84,0,0,0,0,1,0,40
36,2414,523.0222554,245.5065987,18,164,0,0,0,0,0,0,27
127,2146,6289.473355,283.6567463,27,73,1,0,0,0,0,0,6
39,3017,3770.276785,110.4138714,25,161,1,0,0,0,0,0,30
28,2833,157.7027381,342.9184947,34,172,1,0,0,0,0,0,15
124,612,6431.868448,971.8570661,28,76,1,0,0,0,0,0,33
115,1354,5412.997795,254.0339562,3,85,0,0,0,0,1,0,27
14,272,862.1295481,317.5681296,11,186,0,1,0,0,0,0,29
151,3539,6156.215285,351.395433,9,49,0,0,0,1,0,0,35
90,2945,5947.070611,689.6335041,22,110,1,0,0,0,0,0,36
33,2288,483.5934589,933.9890383,34,167,1,0,0,0,0,0,25
8,821,3015.100296,758.0859187,23,192,1,0,0,0,0,0,1
83,2715,5469.802572,645.0688523,3,117,0,0,0,0,1,0,25
94,979,4386.957876,948.9461376,13,106,0,1,0,0,0,0,27
136,2943,2003.411953,1073.558095,24,64,1,0,0,0,0,0,16
132,1713,2515.515347,240.2586745,28,68,1,0,0,0,0,0,14
67,3347,4714.621938,866.7765746,40,133,1,0,0,0,0,0,13
47,2763,8.17173329,448.8954075,30,153,1,0,0,0,0,0,14
112,923,2571.806897,13.75613194,11,88,0,1,0,0,0,0,40
47,155,5395.041995,39.13023928,26,153,1,0,0,0,0,0,4
72,2077,3850.914962,991.6028968,37,128,1,0,0,0,0,0,3
133,3780,3179.14868,590.3054589,39,67,1,0,0,0,0,0,21
15,2524,5829.680112,406.0090619,36,185,1,0,0,0,0,0,13
77,793,6160.278709,984.1221339,20,123,0,0,0,0,0,0,22
10,1976,4076.210126,268.7583845,1,190,0,0,0,0,1,0,43
49,3789,2990.936952,353.1202631,9,151,0,0,0,1,0,0,21
57,3876,1157.672671,116.1351885,25,143,1,0,0,0,0,0,39
134,815,6306.660196,840.7856906,18,66,0,0,0,0,0,0,1
36,918,881.8395547,862.9678711,36,164,1,0,0,0,0,0,26
